English,Deutsch,Arabic
rings,Ringe,خواتم
mission,Mission,مهمة
named,genannt,اسم الشيئ
heaven,Himmel,سماء
ii,ii,الثاني
picked,gepflückt,اختار
paris,Paris,باريس
race,Wettrennen,سباق
risk,Risiko,مخاطرة
books,Bücher,كتب
further,weiter,إضافي
danny,Danny,داني
action,Aktion,فعل
allowed,erlaubt,مسموح
orders,Aufträge,طلبات
learned,gelernt,تعلمت
price,Preis,سعر
arrived,angekommen,وصل
nick,Nick,نيك
otherwise,ansonsten,خلاف ذلك
pictures,Bilder,صور
fit,fit,ملائم
smoke,Rauch,دخان
favor,favorisieren,محاباة
played,gespielt,لعب
notice,Notiz,يلاحظ
awesome,Eindrucksvoll,مذهل
smile,lächeln,يبتسم
director,Direktor,مخرج
guard,bewachen,يحمي
begin,Start,يبدأ
spot,Stelle,بقعة
surprised,überrascht,فوجئ
innocent,unschuldig,البريء
narrator,Erzähler,راوي
herself,Sie selber,نفسها
london,London,لندن
feelings,Gefühle,مشاعر
enemy,Feind,العدو
battle,Schlacht,معركة
ourselves,uns selbst,أنفسنا
alex,Alex,أليكس
dollars,Dollar,دولارات
allow,erlauben,يسمح
nine,neun,تسع
gay,Fröhlich,مثلي الجنس
department,Abteilung,قسم
guilty,schuldig,مذنب
apart,auseinander,منفصل
earlier,früher,سابقًا
duty,Pflicht,واجب
jim,Jim,جيم
suit,Anzug,بدلة
bell,Glocke,جرس
west,West,الغرب
legs,Beine,أرجل
hero,Held,بطل
destroy,zerstören,هدم
stage,Bühne,منصة
bunch,Bündel,حزمة
according,nach,حسب
chicken,Huhn,فرخة
bigger,größer,أكبر
grunting,grunzen,شخير
low,niedrig,قليل
helping,Portion,المساعدة
admit,zugeben,يعترف
closed,geschlossen,مغلق
names,Namen,أسماء
witness,Zeuge,شاهد
upstairs,nach oben,الطابق العلوي
arm,Arm,ذراع
steal,stehlen,يسرق
jimmy,Jimmy,جيمي
kick,trete,ركلة
twice,zweimal,مرتين
cross,kreuzen,يعبر
ways,Wege,طرق
sergeant,Sergeant,شاويش
indeed,In der Tat,بالفعل
gas,Gas,غاز
keeping,Halten,حفظ
energy,Energie,طاقة
pregnant,schwanger,حامل
waste,Abfall,يضيع
helped,geholfen,ساعد
fired,gefeuert,مطرود
favorite,Favorit,مفضل
tony,Tony,توني
taste,schmecken,ذوق
locked,gesperrt,مقفل
places,setzt,أماكن
writing,Schreiben,كتابة
adam,Adam,آدم
brothers,Brüder,الإخوة
starts,beginnt,يبدأ
prince,Prinz,أمير
form,form,استمارة
sold,verkauft,مُباع
silly,albern,سخيف
mention,erwähnen,يذكر
build,bauen,يبني
throat,Kehle,حُلقُوم
hole,Loch,فتحة
figured,gezeichnet,أحسب
track,Schiene,مسار
ringing,Klingeln,رنين
lock,sperren,قفل
leg,Bein,رجل
above,über,فوق
hiding,versteckt,إخفاء
steve,Steve,ستيف
seemed,schien,بدت
breakfast,Frühstück,إفطار
engine,Motor,محرك
written,geschrieben,مكتوب
complete,vollständig,مكتمل
video,Video,فيديو
applause,Beifall,تصفيق
however,Jedoch,لكن
pressure,Druck,ضغط
fresh,frisch,طازج
weapon,Waffe,سلاح
sky,Himmel,سماء
ms.,MS.,آنسة.
stole,Stahl,نهب
study,lernen,يذاكر
burn,brennen,يحرق
reading,Lektüre,قراءة
crowd,Menge,يحشد
treat,behandeln,يعامل
roll,rollen,لفافة
double,doppelt,مزدوج
spirit,Geist,روح
danger,Achtung,خطر
cost,kosten,يكلف
empty,leer,فارغ
level,eben,مستوى
memory,Speicher,ذاكرة
itself,selbst,بحد ذاتها
acting,Schauspielkunst,التمثيل
interest,Interesse,اهتمام
nose,Nase,أنف
plans,Pläne,خطط
following,folgen,التالي
bathroom,Badezimmer,حمام
built,gebaut,مبني
closer,näher,أقرب
ray,Strahl,شعاع
sarah,Sarah,ساره
band,Band,فرقة
groans,stöhnt,آذان
apparently,scheinbar,فيما يبدو
excited,aufgeregt,متحمس
richard,Richard,ريتشارد
losing,verlieren,خسارة
animals,Tiere,الحيوانات
flight,Flug,رحلة جوية
nature,Natur,طبيعة
raise,heben,يرفع
pop,Pop,البوب
client,Klient,عميل
bomb,Bombe,قنبلة
neck,Nacken,رقبة
suspect,verdächtig,يشتبه
warm,warm,دافيء
extra,extra,إضافي
bottle,Flasche,زجاجة
van,Van,سيارة نقل
heavy,schwer,ثقيل
mommy,Mama,أمي
dogs,Hunde,الكلاب
wild,wild,بري
ridiculous,lächerlich,سخيف
simply,einfach,ببساطة
lee,Lee,لي
animal,Tier,حيوان
showed,gezeigt,أظهر
billy,Billy,بيلي
shooting,Schießen,اطلاق الرصاص
keeps,hält,يحتفظ
camp,Lager,معسكر
guns,Waffen,البنادق
medical,medizinisch,طبي
shame,Scham,عار
hoping,Hoffentlich,يأمل
whom,dem,مَن
bird,Vogel,طائر
majesty,Majestät,جلالة
flowers,Blumen,زهور
famous,berühmt,مشهور
asleep,schlafend,نائم
beauty,Schönheit,جمال
driver,Treiber,سائق
keys,Schlüssel,مفاتيح
rain,Regen,مطر
awful,abscheulich,مريع
large,groß,كبير
local,lokal,محلي
deserve,verdienen,يستحق
goddamn,gottverdammt,ملعون
stone,Stein,حجر
jane,Jane,جين
grace,Anmut,جمال
consider,halten,يعتبر
weekend,Wochenende,عطلة نهاية الاسبوع
wondering,wundern sich,أتساءل
lay,legen,يضع
plenty,eine Menge,كثير
willing,bereit,راغب
pants,Hose,بنطال
sweetheart,Schatz,حبيب
skin,Haut,جلد
excellent,exzellent,ممتاز
asshole,Arschloch,الأحمق
beach,Strand,شاطئ
c,C,ج
faith,Glaube,إيمان
beg,bitten,إفترض جدلا
fuckin,verdammt,فوكين
responsible,verantwortlich,مسؤول
military,Militär,جيش
cheering,Jubel,هتاف
opportunity,Gelegenheit,فرصة
common,gemeinsam,شائع
bottom,Unterseite,قاع
german,Deutsch,ألمانية
whoever,Wer auch immer,من
cook,kochen,يطبخ
walked,ging,مشى
papers,Papiere,أوراق
justice,Gerechtigkeit,عدالة
hall,Saal,قاعة
commander,Kommandant,القائد
drug,Arzneimittel,دواء
main,hauptsächlich,رئيسي
knife,Messer,سكين
devil,Teufel,شيطان
necessary,notwendig,ضروري
although,Obwohl,بالرغم من
princess,Prinzessin,أميرة
lights,Beleuchtung,أضواء
flying,fliegend,الطيران
dick,Schwanz,قضيب
rose,Rose,وَردَة
knowing,wissen,معرفة
clearly,deutlich,بوضوح
hat,Hut,قبعة
agreed,einverstanden,متفق
johnny,Johnny,جوني
corner,Ecke,ركن
code,Code,شفرة
note,Notiz,ملحوظة
tommy,Tommy,تومي
due,fällig,حق
correct,richtig,صحيح
apologize,sich entschuldigen,يعتذر
language,Sprache,لغة
stars,Sterne,النجوم
faster,Schneller,أسرع
cars,Autos,السيارات
folks,Leute,يا قوم
bullshit,Bullshit,هراء
i.,ich.,أنا.
fellow,Gefährte,زميل
several,mehrere,عديد
grandma,Oma,الجدة
shows,zeigt an,عروض
leader,Führer,قائد
leaves,Blätter,أوراق
restaurant,Restaurant,مطعم
east,Ost,شرق
shouting,schreien,يصرخ
blind,blind,أعمى
ghost,Geist,شبح
cup,Tasse,كوب
gotten,bekommen,حصلت
tight,eng,ضيق
conversation,Gespräch,محادثة
tells,erzählt,يروي
lies,Lügen,يكذب
nor,noch,ولا
pulled,gezogen,سحبت
hanging,hängend,شنق
speed,Geschwindigkeit,سرعة
stories,Geschichten,قصص
health,Gesundheit,صحة
advice,Beratung,نصيحة
held,gehaltenen,محتجز
uh-huh,uh-huh,أه هاه
murdered,ermordet,قتل
beyond,außerhalb,وَرَاءَ
rule,Regel,قاعدة
hardly,kaum,بالكاد
possibly,möglicherweise,ربما
inspector,Inspektor,مفتش
cousin,Cousin,ابن عم
trial,Gerichtsverhandlung,محاكمة
emergency,Notfall,طارئ
ought,sollen,ينبغي
eddie,Eddie,إدي
somehow,irgendwie,بطريقة ما
hearing,Hören,سمع
states,Zustände,تنص على
account,Konto,حساب
spoke,gesprochen,سلك
file,Datei,ملف
understood,verstanden,مفهومة
angel,Engel,ملاك
tape,Band,شريط
milk,Milch,لبن
powerful,kraftvoll,قوي
weapons,Waffen,أسلحة
practice,üben,يمارس
manager,Manager,مدير
pardon,Begnadigung,عفو
vote,Abstimmung,تصويت
jake,Jake,جيك
national,National,وطني
career,Karriere,حياة مهنية
minister,Minister,وزير
super,super,ممتاز
taught,gelehrt,مُدَرّس
robert,Robert,روبرت
biggest,größte,الأكبر
plays,Theaterstücke,يلعب
natural,natürlich,طبيعي
dancing,Tanzen,الرقص
copy,Kopieren,ينسخ
plus,Plus,زائد
martin,Martin,مارتن
cake,Kuchen,كيك
freedom,Freiheit,حرية
among,unter,ضمن
breath,Atem,يتنفس
operation,Betrieb,عملية
chris,Chris,كريس
crew,Besatzung,طاقم
challenge,Herausforderung,تحدي
market,Markt,سوق
meat,Fleisch,لحمة
towards,in Richtung,تجاه
bringing,bringen,جلب
dropped,fallen gelassen,إسقاط
student,Student,طالب
lied,gelogen,كذب
strength,Stärke,قوة
size,Größe,مقاس
breathe,atmen,يتنفس
color,Farbe,لون
monster,Monster,وحش
loud,laut,عالي
photo,Foto,صورة
aw,aw,آه
nearly,fast,تقريبا
sight,Sicht,رؤية
greatest,größte,أعظم
games,Spiele,ألعاب
bridge,Brücke,كوبري
dressed,angezogen,يرتدي
arrested,verhaftet,القى القبض
horrible,schrecklich,فظيع
coach,Coach,مدرب
planning,Planung,تخطيط
checked,überprüft,التحقق
breaking,Brechen,كسر
noticed,bemerkte,لاحظت
fantastic,fantastisch,رائع
screams,Geschrei,يصرخ
serve,Aufschlag,يخدم
ideas,Ideen,الأفكار
investigation,Untersuchung,تحقيق
center,Center,مركز
older,älter,اكبر سنا
pack,Pack,علية
soldiers,Soldaten,الجنود
nonsense,Unsinn,كلام فارغ
doc,Dokument,مستند
project,Projekt,مشروع
training,Ausbildung,تمرين
example,Beispiel,مثال
trick,Trick,حيلة
prepared,vorbereitet,مُعد
science,Wissenschaft,علوم
united,vereinigt,متحد
travel,reisen,يسافر
incredible,unglaublich,رائع
grandpa,Opa,الجد
paying,zahlen,دفع
character,Charakter,شخصية
teeth,Zähne,أسنان
criminal,kriminell,مجرم
charles,Charles,تشارلز
chinese,Chinesisch,صينى
truly,wirklich,حقا
honestly,Ehrlich,بصدق
bro,Bruder,أخ
survive,überleben,ينجو
bobby,Bobby,بوبي
target,Ziel,هدف
feed,füttern,يٌطعم
nurse,Krankenschwester,ممرضة
e,e,ه
fake,gefälscht,مزيف
records,Aufzeichnungen,السجلات
breathing,Atmung,عمليه التنفس
sweetie,Schätzchen,حبيبي
numbers,Zahlen,أعداد
oil,Öl,زيت
suicide,Selbstmord,الانتحار
belong,gehören,ينتمي ل
whoo,whoo,ووه
perfectly,perfekt,تماما
amy,Amy,إيمي
forgotten,Vergessene,نسي
remain,bleiben,يبقى
original,Original,إبداعي
papa,Papa,بابا
onto,auf zu,على
concerned,betroffen,قلقان
credit,Kredit,ائتمان
ugh,Pfui,قرف
invited,eingeladen,مدعو
discuss,diskutieren,يناقش
research,Forschung,بحث
easier,Einfacher,أسهل
view,Sicht,منظر
chair,Stuhl,كرسي
hurts,tut weh,يؤلم
strike,schlagen,يضرب
roger,Roger,حاضر
fill,füllen,يملأ
condition,Zustand,حالة
mountain,Berg,جبل
dr,DR,دكتور
nowhere,nirgends,لا مكان
sheriff,Sheriff,شريف
kim,Kim,كيم
turning,drehen,تحول
brown,braun,بني
recognize,erkenne,يتعرف على
heads,Köpfe,رؤساء
audience,Publikum,جمهور
all,alle,الجميع
jealous,eifersüchtig,غيور
pretend,vorgeben,يدّعي
society,Gesellschaft,مجتمع
finding,finden,العثور على
shirt,Shirt,قميص
comfortable,komfortabel,مريح
meaning,Bedeutung,معنى
guest,Gast,ضيف
pieces,Stücke,قِطَع
dry,trocken,جاف
letting,Vermeiden,ترك
began,begann,بدأ
aye,Ja,آي
jeff,Jeff,جيف
female,weiblich,أنثى
release,freigeben,يطلق
ho,ho,هو
cards,Karten,البطاقات
pray,beten,يصلي
unfortunately,Leider,للأسف
balls,Bälle,كرات
destroyed,zerstört,دمر
ended,beendet,انتهى
universe,Universum,كون
prepare,vorbereiten,يحضر
opinion,Meinung,رأي
movies,Filme,أفلام
soldier,Soldat,جندي
wash,waschen,غسل
program,Programm,برنامج
heat,Hitze,حرارة
usual,üblich,معتاد
ticket,Fahrkarte,تذكرة
stolen,gestohlen,مسروق
prefer,bevorzugen,يفضل
aware,bewusst,واعي
surely,sicherlich,بالتاكيد
male,männlich,ذكر
base,Base,قاعدة
matters,Angelegenheiten,القضايا
lift,Aufzug,يرفع
lab,Labor,مختبر
command,Befehl,يأمر
proof,nachweisen,دليل
cream,Creme,كريم
selling,Verkauf,يبيع
believed,geglaubt,يعتقد
create,erstellen,يخلق
h,H,ح
afford,leisten,يمنح
sunday,Sonntag,الأحد
total,gesamt,المجموع
dumb,stumm,أحمق
threw,warf,يرمي
france,Frankreich,فرنسا
birth,Geburt,ولادة
created,erstellt,مخلوق
realized,erkannte,أدرك
british,britisch,بريطاني
noise,Lärm,ضوضاء
nuts,Nüsse,المكسرات
students,Studenten,طلاب
birds,Vögel,الطيور
social,Sozial,اجتماعي
brilliant,brillant,باهِر
bodies,Körper,جثث
tie,binden,رَابِطَة
opened,geöffnet,افتتح
ours,unsere,لنا
bucks,Dollars,الدولارات
kevin,Kevin,كيفن
mister,Herr,مستر
ugly,hässlich,قبيح
ryan,Ryan,ريان
focus,Fokus,ركز
dan,Dan,دان
opens,öffnet,يفتح
exist,existieren,يخرج
followed,gefolgt,يتبع
england,England,إنكلترا
draw,ziehen,يرسم
purpose,Zweck,غاية
letters,Briefe,حروف
daniel,Daniel,دانيال
opening,Öffnung,افتتاح
bullet,Patrone,رصاصة
anna,Anna,آنا
lately,in letzter Zeit,مؤخرا
stayed,blieb,بقي
falling,fallen,هبوط
season,Jahreszeit,موسم
ends,endet,ينتهي
suggest,empfehlen,يقترح
joy,Freude,مرح
distance,Distanz,مسافة
responsibility,Verantwortung,مسؤولية
whenever,Wann immer,حينما
issue,Ausgabe,مشكلة
thousands,Tausende,الآلاف
process,Verfahren,عملية
sword,Schwert,سيف
shower,Dusche,دش
weak,schwach,ضعيف
fucked,gefickt,مارس الجنس
lonely,einsam,وحيد
happiness,Glück,سعادة
eric,Eric,إريك
tiny,winzig,صغير الحجم
desk,Schreibtisch,مكتب
pool,Schwimmbad,حمام سباحة
property,Eigentum,ملكية
forced,gezwungen,قسري
settle,siedeln,يستقر
indistinct,undeutlich,غير واضح
weight,Gewicht,وزن
received,erhalten,تلقى
gang,Gang,عصابة
bite,beissen,يعض
friday,Freitag,جمعة
disappeared,verschwunden,اختفى
interview,Interview,مقابلة
expecting,erwarten,مترقب
kinda,irgendwie,نوعا ما
surgery,Operation,جراحة
horses,Pferde,خيل
mayor,Bürgermeister,عمدة
babe,Baby,فاتنة
ancient,alt,عتيق
handsome,gutaussehend,وسيم
thomas,Thomas,توماس
saturday,Samstag,السبت
staff,Mitarbeiter,طاقم عمل
lines,Linien,خطوط
unit,Einheit,وحدة
fan,Fan,معجب
gentleman,Gentleman,انسان محترم
introduce,einführen,يقدم
fate,Schicksal,قدر
split,Teilt,ينقسم
recently,in letzter Zeit,حديثاً
expected,erwartet,مُتوقع
add,hinzufügen,يضيف
ordered,bestellt,أمر
slowly,langsam,ببطء
alarm,Alarm,إنذار
member,Mitglied,عضو
slept,habe geschlafen,نام
signed,unterzeichnet,وقعت
enter,eingeben,يدخل
spanish,Spanisch,الأسبانية
garden,Garten,حديقة
brings,bringt,يجلب
brave,mutig,شجاع
pig,Schwein,خنزير
model,Modell,نموذج
finger,Finger,اصبع اليد
medicine,Medizin,الدواء
access,Zugang,وصول
failed,fehlgeschlagen,فشل
flat,Wohnung,مستوي
easily,leicht,بسهولة
discovered,entdeckt,اكتشف
based,basierend,قائم على
screw,schrauben,أفسد
insane,verrückt,مجنون
cares,kümmert sich,يهتم
weather,Wetter,طقس
fingers,Finger,أصابع
san,San,سان
scott,Scott,سكوت
path,Weg,طريق
soft,weich,ناعم
harm,Schaden,ضرر
style,Stil,أسلوب
community,Gemeinschaft,مجتمع
sees,sieht,يرى
basically,grundsätzlich,أساسًا
al,al,آل
signal,Signal,الإشارة
nope,Nö,لا
spare,Ersatzteil,إضافي
speech,Rede,خطاب
covered,bedeckt,مغطى
shake,Shake,هزة
loose,lose,مرتخي
snow,Schnee,الثلج
russian,Russisch,الروسية
lake,See,بحيرة
bright,hell,ساطع
roof,Dach,سَطح
ohh,Ohh,أوهه
sending,Senden,إرسال
paint,malen,طلاء
remind,erinnern,يتذكر
pal,Kumpel,صديق
naked,nackt,عارية
post,Post,بريد
sugar,Zucker,سكر
heading,Überschrift,عنوان
streets,Straßen,الشوارع
damage,Schaden,ضرر
silence,Schweigen,الصمت
doors,Türen,أبواب
pete,Pete,بيت
ed,ed,إد
success,Erfolg,نجاح
wet,nass,مبتل
nah,Nein,ناه
amount,Menge,كمية
members,Mitglieder,أعضاء
kate,Kate,كيت
manage,verwalten,يدير
safety,Sicherheit,أمان
returned,ist zurückgekommen,عاد
harder,Schwerer,أصعب
fbi,FBI,مكتب التحقيقات الفدرالي
block,Block,حاجز
showing,zeigen,تظهر
fancy,schick,باهِظ
chef,Koch,طاه
contract,Vertrag,عقد
dig,graben,حفر
chest,Brust,صدر
good-bye,Verabschiedung,مع السلامة
drinks,Getränke,مشروبات
dave,Dave,ديف
buried,begraben,مدفون
brian,Brian,براين
trade,handeln,تجارة
journey,Reise,رحلة
stomach,Magen,معدة
changes,Änderungen,التغييرات
details,Einzelheiten,تفاصيل
thoughts,Gedanken,أفكار
divorce,Scheidung,الطلاق
funeral,Beerdigung,جنازة
maria,Maria,ماريا
football,Fußball,كرة القدم
reality,Wirklichkeit,الواقع
theory,Theorie,نظرية
gosh,Meine Güte,يا إلهي
ruined,ruiniert,مدمر
gate,Tor,بوابة
william,Wilhelm,وليام
spread,Ausbreitung,الانتشار
outta,aus,Outta
japanese,japanisch,اليابانية
sudden,plötzlich,فجأة
coat,Mantel,معطف
sooner,früher,عاجلا
cheese,Käse,جبنه
larry,Larry,لاري
spring,Frühling,ربيع
page,Buchseite,صفحة
ears,Ohren,آذان
simon,Simon,سيمون
castle,Schloss,قلعة
hidden,versteckt,مختفي
storm,Sturm,عاصفة
cos,Cos,كوس
personally,persönlich,شخصيا
artist,Künstler,فنان
hill,hügel,تلة
exciting,spannend,مثير
permission,Erlaubnis,إذن
jerry,Jerry,جيري
expensive,teuer,غالي
tickets,Tickets,التذاكر
forest,Wald,غابة
barely,kaum,بالكاد
eggs,Eier,بيض
goin,hineingehen,أدخل
regret,Reue,يندم
lesson,Lektion,درس
lover,Liebhaber,عاشق
bread,brot,خبز
andy,Andy,آندي
subject,Thema,موضوع
legal,legal,قانوني
growing,wachsend,النمو
ill,krank,سوف
jason,Jason,جيسون
mood,Stimmung,مزاج
owner,Eigentümer,مالك
caused,verursacht,تسبب
beeping,Pieping,تنبيه
points,Punkte,نقاط
dating,Datierung,مواعدة
loss,Verlust,خسارة
secretary,Sekretär,سكرتير
revenge,Rache,انتقام
santa,Weihnachtsmann,سانتا
likely,wahrscheinlich,محتمل
rent,mieten,إيجار
connection,Verbindung,اتصال
assistant,Assistent,مساعد
reasons,Gründe dafür,أسباب
yelling,Geschrei,الصراخ
painting,malen,تلوين
trees,Bäume,الأشجار
doctors,Ärzte,الأطباء
rush,eilen,يسرع
foreign,ausländisch,أجنبي
rough,rauh,خشن
murderer,Mörder,قاتل
century,Jahrhundert,قرن
nights,Nächte,ليالي
pair,Paar,زوج
runs,läuft,أشواط
pocket,Tasche,جيب
farm,Bauernhof,مزرعة
matt,Matt,غير لامع
bike,Fahrrad,دراجة هوائية
obvious,offensichtlich,بديهي
ate,aß,أكل
grew,wuchs,نمت
professional,Fachmann,احترافي
tim,Tim,تيم
goodness,Güte,صلاح
parts,Teile,القطع
alan,Alan,آلان
university,Universität,جامعة
square,Quadrat,مربع
grandfather,Großvater,جد
europe,Europa,أوروبا
genius,Genius,عبقري
cases,Fälle,حالات
ruin,Ruine,يخرب
winter,Winter,شتاء
tongue,Zunge,لسان
memories,Erinnerungen,ذكريات
da,da,دا
buying,Kauf,الشراء
cancer,Krebs,سرطان
clock,Uhr,ساعة
ocean,Ozean,محيط
dna,DNA,الحمض النووي
liar,Lügner,كذاب
tour,Tour,رحلة
thief,Dieb,لص
bleep,Piep,بليب
lisa,Lisa,ليزا
rights,Rechte,حقوق
including,einschließlich,مشتمل
competition,Wettbewerb,مسابقة
smith,Schmied,حداد
planned,geplant,المخطط
emily,Emily,إميلي
boring,langweilig,ممل
victims,die Opfer,الضحايا
mentioned,genannt,مذكور
bones,Knochen,العظام
plant,Anlage,نبات
bless,segnen,يبارك
warning,Warnung,تحذير
knocking,Klopfen,يطرق
re,Betreff,يكرر
crash,Absturz,يتحطم
bedroom,Schlafzimmer,غرفة نوم
lower,untere,أدنى
silver,Silber,فضة
groaning,Stöhnen,يئن
madame,Madame,سيدتي
defense,Verteidigung,دفاع
results,Ergebnisse,نتائج
toilet,Toilette,الحمام
event,Fall,حدث
complicated,kompliziert,معقد
shape,Form,شكل
priest,Priester,كاهن
royal,königlich,الملكي
cheap,billig,رخيص
romantic,romantisch,رومانسي
downstairs,unten,الطابق السفلي
invite,einladen,يدعو
fortune,Reichtum,حظ
tears,Tränen,دموع
avoid,vermeiden,يتجنب
reached,erreicht,وصل
higher,höher,أعلى
familiar,vertraut,مألوف
telephone,Telefon,هاتف
burning,Verbrennung,احتراق
filled,gefüllt,مملوء
kelly,Kelly,كيلي
alice,Alice,أليس
airport,Flughafen,مطار
jobs,Arbeitsplätze,وظائف
grown,gewachsen,نابعة
walter,Walter,والتر
rachel,Rachel,راشيل
giant,Riese,عملاق
insurance,Versicherung,تأمين
woods,Wald,الغابة
n,N,ن
scare,Schrecken,فزع
pleased,erfreut,مسرور
period,Zeitraum,فترة
political,politisch,سياسي
player,Spieler,لاعب
stops,Stopps,توقف
secrets,Geheimnisse,أسرار
laura,Laura,لورا
repeat,wiederholen,يكرر
photos,Fotos,الصور
finds,Funde,يجد
statement,Stellungnahme,إفادة
suck,saugen,مص
younger,jünger,اصغر سنا
china,China,الصين
humans,Menschen,البشر
delicious,lecker,لذيذ
particular,besondere,خاص
proper,richtig,سليم
rome,Rom,روما
belongs,gehört,ينتمي
attacked,angegriffen,هاجم
bath,Bad,حمام
hired,gemietet,استأجرت
site,Grundstück,موقع
knowledge,Wissen,معرفة
b,B,ب
led,LED,قاد
guests,Gäste,ضيوف
celebrate,zelebrieren,احتفل
map,Karte,خريطة
horn,Horn,بوق
eventually,letztlich,مؤخراً
pity,Mitleid,شفقة
powers,Kräfte,القوى
ashamed,beschämt,خجلان
assume,annehmen,يفترض
glasses,Gläser,نظارات
rise,erheben,يعلو
fixed,Fest,مُثَبَّت
request,Anfrage,طلب
officers,Offiziere,الضباط
pounds,Pfund,جنيه أو رطل للوزن
data,Daten,بيانات
carefully,sorgfältig,بحرص
per,pro,لكل
depends,kommt darauf an,يعتمد على
jury,Jury,هيئة المحلفين
waited,gewartet,انتظر
positive,positiv,إيجابي
attorney,Rechtsanwalt,محامي
direction,Richtung,اتجاه
families,Familien,العائلات
clock,Uhr,ساعة
doin,toin,تفعل
forces,Kräfte,القوات
location,Standort,موقع
walls,Wände,الجدران
useless,nutzlos,عديم الفائدة
grant,gewähren,منحة
saving,sparen,إنقاذ
speaks,spricht,يتحدث
fought,gekämpft,حارب
meal,Mahlzeit,وجبة
deliver,liefern,يسلم
answers,Antworten,إجابات
changing,Ändern,التغيير
temple,Tempel,معبد
scary,gruselig,مخيف
millions,Millionen,ملايين
offered,angeboten,تقدم
regular,regulär,عادي
carrying,Tragen,حمل
official,offiziell,رسمي
jacket,Jacke,السترة
switch,schalten,يُحوّل
grave,Grab,خطير
chase,Verfolgungsjagd,يطارد
role,Rolle,دور
odd,seltsam,غريب
sexy,sexy,جنسي
faces,Gesichter,الوجوه
becomes,wird,يصبح
closes,schließt,يغلق
badly,schlecht,بشكل سيئ
tall,groß,طويل
confused,verwirrt,مشوش
affair,Affäre,شأن
television,Fernsehen,التلفاز
shock,Schock,صدمة
raised,erzogen,نشأ
panting,keuchend,يلهث
pizza,Pizza,بيتزا
image,Bild,صورة
clears,löscht,يمسح
golden,golden,ذهبي
patients,Patienten,مرضى
watched,schaute,مشاهدة
committed,engagiert,ملتزم
sexual,sexuell,جنسي
suffer,leiden,يعاني
arthur,Arthur,آرثر
wherever,wo auch immer,أينما
plate,Platte,طبق
appear,erscheinen,يظهر
chocolate,Schokolade,شوكولاتة
clever,clever,ماهر
hm,Hm,HM
mercy,Gnade,رحمة
shots,Schüsse,الطلقات
lucy,Lucy,لوسي
dealing,Handel,التعامل
trap,fangen,فخ
charges,Gebühren,رسوم
phil,Phil,فيل
bang,Knall,انفجار
poison,Gift,سم
butt,Hintern,بعقب
drove,Gefahren,قاد
yourselves,euch,أنفسكم
headed,Kopf,يترأس
babies,Babys,أطفال
yellow,Gelb,أصفر
soup,Suppe,حساء
mystery,Geheimnis,أُحجِيَّة
picking,pflücken,اختيار
sat,Sa,قعد
wound,Wunde,جرح
traffic,Verkehr,مرور
courage,Mut,شجاعة
hunt,Jagd,مطاردة
indian,indisch,هندي
rat,Ratte,فأر
terms,Bedingungen,شروط
italian,Italienisch,إيطالي
emma,Emma,إيما
checking,Überprüfung,تدقيق
disease,Krankheit,مرض
managed,gelang es,تدار
winner,Gewinner,الفائز
council,Rat,مجلس
appointment,Termin,ميعاد
monday,Montag,الاثنين
crack,Riss,كسر
threat,Gefahr,تهديد
jenny,Jenny,جيني
physical,physisch,بدني
nation,Nation,أمة
source,Quelle,مصدر
chose,gewählt,اختار
healthy,gesund,صحيح
carl,Carl,كارل
victory,Sieg,فوز
rick,Rick,ريك
stood,stand,وقف
kicked,getreten,ركل
annie,Annie,آني
disgusting,ekelhaft,مقزز
palace,Palast,قصر
below,unter,أقل
shopping,Einkaufen,التسوق
neighborhood,Nachbarschaft,حيّ
march,Marsch,يمشي
lips,Lippen,شفه
midnight,Mitternacht,منتصف الليل
piss,Piss,شخ
advantage,Vorteil,ميزة
pure,rein,نقي
india,Indien,الهند
aside,beiseite,جانبا
jerk,Ruck,هَزَّة
mail,Post,بريد
dawn,Dämmerung,فَجر
effect,Wirkung,تأثير
spell,Fluch,يتهجى
freak,Freak,غريب الأطوار
wood,Holz,خشب
screwed,aufgeschmissen,ثمل
enemies,Feinde,الأعداء
gary,Gary,غاري
awake,wach,مستيقظ
chuckling,kichern,ضحكة مكتومة
vacation,Urlaub,أجازة
violence,Gewalt,عنف
leo,Löwe,ليو
grandmother,Oma,جدة
modern,modern,حديث
luke,Lukas,لوقا
firm,Firma,حازم
prime,Prime,برايم
heh,heh,هيه
touched,berührt,لمست
talent,Talent,الموهبة
whore,Hure,عاهرة
piano,Klavier,بيانو
license,Lizenz,رخصة
cooking,Kochen,طبخ
honour,ehren,شرف
concern,Anliegen,هَم
moves,bewegt sich,التحركات
available,verfügbar,متاح
factory,Fabrik,مصنع
gods,Götter,الآلهة
value,Wert,قيمة
central,zentral,وسط
union,Union,اتحاد
mirror,Spiegel,مرآة
studio,Studio,الاستوديو
media,Medien,وسائط
taxi,Taxi,سيارة اجره
dies,stirbt,يموت
iron,Eisen,حديد
hearts,Herzen,قلوب
desire,Verlangen,يرغب
rob,rauben,روب
claire,Claire,كلير
fred,Fred,فريد
songs,Lieder,الأغاني
washington,Washington,واشنطن
monkey,Affe,قرد
pride,Stolz,فخر
pills,Pillen,حبوب
miracle,Wunder,معجزة
swim,schwimmen,السباحة
burned,verbrannt,أحرق
